Source,/home/pozsarzs/Git/mm6d-hw/cad_files/mainboard/mainboard.sch
Kicad Rev,Eeschema 4.0.5+dfsg1-4
Generated Date,2020. nov.  1., vasárnap, 08:02:38 CET

Title,MM6D Remote controlled switching device
Company,Pozsar Zsolt - http://www.szerafingomba.hu
Revision,200612
Date Issue,2020-06-12
Comment,Main board
Comment,Draw no.: 59/11/2

Reference,Value,Library,Library Ref
C104,2.2u,mainboard-cache,device:CP_Small
P106,CONN_01X02,conn,CONN_01X02
R110,390,device,R
P107,CONN_01X02,conn,CONN_01X02
P108,CONN_01X02,conn,CONN_01X02
R109,1.8k,device,R
P105,CONN_01X03,conn,CONN_01X03
R108,4.7k,device,R
R107,4.7k,device,R
R106,4.7k,device,R
R105,4.7k,device,R
U106-JP101,CONN_01X16,conn,CONN_01X16
U106-JP102,CONN_01X12,conn,CONN_01X12
D102,1N4001,device,D
D104,1N4001,device,D
D106,1N4001,device,D
D108,1N4001,device,D
D107,1N4001,device,D
D105,1N4001,device,D
D103,1N4001,device,D
D101,1N4001,device,D
P102,CONN_01X02,conn,CONN_01X02
P103,CONN_01X02,conn,CONN_01X02
C102,470u,mainboard-cache,device:CP_Small
C101,470u,mainboard-cache,device:CP_Small
C103,4.7u,mainboard-cache,device:CP_Small
U101,7805,regul,7805
P104,CONN_01X02,conn,CONN_01X02
D112,1N4001,device,D
D111,1N4001,device,D
D110,1N4001,device,D
D109,1N4001,device,D
P101,CONN_01X05,conn,CONN_01X05
U105,4N25,opto,4N25
R104,1.5k,device,R
U104,4N25,opto,4N25
R103,1.5k,device,R
U103,4N25,opto,4N25
R102,1.5k,device,R
U102,4N25,opto,4N25
R101,1.5k,device,R
D116,1N4007,device,D
D115,1N4007,device,D
D114,1N4007,device,D
D113,1N4007,device,D
Q105,BD137,device,Q_NPN_ECB
Q106,BD137,device,Q_NPN_ECB
Q108,BD137,device,Q_NPN_ECB
Q107,BD137,device,Q_NPN_ECB
P109,CONN_01X05,conn,CONN_01X05
R114,1k,device,R
R113,1k,device,R
R112,1k,device,R
R111,1k,device,R
Q101,BC182,device,Q_NPN_CBE
Q102,BC182,device,Q_NPN_CBE
Q103,BC182,device,Q_NPN_CBE
Q104,BC182,device,Q_NPN_CBE
