Source,/home/pozsarzs/Git/mm6d/cad_files/mm6d/mm6d.sch
Kicad Rev,Eeschema 4.0.5+dfsg1-4
Generated Date,2020. júl. 27., hétfő, 08:05:20 CEST

Title,MM6D Remote controlled switching device
Company,Pozsar Zsolt - http://www.szerafingomba.hu
Revision,200612
Date Issue,2020-06-12
Comment,Printed circuit board
Comment,Draw no.: 59/11/2

Reference,Value,Library,Library Ref
C101,470u,mm6d-cache,device:CP_Small
C102,2.2u,mm6d-cache,device:CP_Small
D101,1N4001,pzs_others,diode
D102,1N4001,pzs_others,diode
D103,1N4001,pzs_others,diode
D104,1N4001,pzs_others,diode
D105,1N4001,device,D
D106,blue,pzs_devices,LED-CIRCLE
D107,green,pzs_devices,LED-CIRCLE
D108,green,pzs_devices,LED-CIRCLE
D109,green,pzs_devices,LED-CIRCLE
D110,red,pzs_devices,LED-CIRCLE
D111,1N4007,pzs_others,diode
D112,1N4007,pzs_others,diode
D113,1N4007,pzs_others,diode
D114,1N4007,pzs_others,diode
P101,CONN_01X05,conn,CONN_01X05
P102,CONN_01X03,conn,CONN_01X03
P103,CONN_01X02,conn,CONN_01X02
P104,CONN_01X02,conn,CONN_01X02
P105,CONN_01X02,conn,CONN_01X02
P106,CONN_01X05,conn,CONN_01X05
Q101,BC182,device,Q_NPN_EBC
Q102,BC182,device,Q_NPN_EBC
Q103,BC182,device,Q_NPN_EBC
Q104,BC182,device,Q_NPN_EBC
Q105,BD137,device,Q_NPN_ECB
Q106,BD137,device,Q_NPN_ECB
Q107,BD137,device,Q_NPN_ECB
Q108,BD137,device,Q_NPN_ECB
R101,1.5k,device,R
R102,1.5k,device,R
R103,1.5k,device,R
R104,1.5k,device,R
R105,4.7k,device,R
R106,4.7k,device,R
R107,4.7k,device,R
R108,4.7k,device,R
R109,390,device,R
R110,390,device,R
R111,390,device,R
R112,390,device,R
R113,390,device,R
R114,1k,device,R
R115,1k,device,R
R116,1k,device,R
R117,1k,device,R
R118,1.8k,device,R
U101,4N25,opto,4N25
U102,4N25,opto,4N25
U103,4N25,opto,4N25
U104,4N25,opto,4N25
U105-JP101,CONN_01X16,conn,CONN_01X16
U105-JP102,CONN_01X12,conn,CONN_01X12
